AAA,HASTC,An Phat Plastic and Green Environment Joint Stock Company
AAM,HOSE,Mekong Fisheries Joint Stock Company
ABT,HOSE,Bentre Aquaproduct Import And Export Joint Stock Company
ACB,HASTC,Asia Commercial Bank
ACL,HOSE,Cuulong Fish Joint Stock Company
ADC,HASTC,Art Design & Communication Joint Stock Company
AGC,HASTC,An Giang Coffee Joint Stock Company
AGD,HOSE,Godaco Seafood Joint Stock Company
AGF,HOSE,An Giang Fisheries Import and Export Joint Stock Company
AGR,HOSE,AgriBank Securities Joint Stock Coporation
ALP,HOSE,Alphanam Joint Stock Company
ALT,HASTC,Alta Company
ALV,HASTC,Vinas A Luoi Mineral Joint Stock Company
AME,HASTC,"ALPHANAM Mechanical Electric JSC,."
AMV,HASTC,American Vietnamese Biotech Incorporation
ANV,HOSE,Nam Viet Corporation
APC,HOSE,An Phu Irradiation Joint Stock Company
APG,HASTC,AnPhat Securities Joint Stock Company
API,HASTC,Asia - Pacific Investment Joint Stock Company
APP,HASTC,Additives and Petroleum Products Joint Stock Company
APS,HASTC,Asia - Pacific Securities Joint Stock Company
ARM,HASTC,General Aviation Import Export Joint Stock Company
ASM,HOSE,Sao Mai Construction Corporation
ASP,HOSE,An Pha Petroleum Group Joint Stock Company
ATA,HOSE,NTACO Joint Stock Company
AVF,HOSE,Anvifish Joint-Stock Company
AVS,HASTC,Au Viet Securities Corporation
B82,HASTC,Joint - Stock Company No 482
BAS,HOSE,BASA Joint Stock Company
BBC,HOSE,Bibica Corporation
BBS,HASTC,But Son Cement Packing Joint - Stock Company
BBT,HOSE,Bach Tuyet Cotton Corporation
BCC,HASTC,Bim Son Cement Joint Stock Company
BCE,HOSE,Binh Duong Construction And Civil Engineering Joint Stock Company
BCI,HOSE,Binh Chanh Construction Investment Shareholding Company
BDB,HASTC,Binh Ðinh Book and Equipment Joint Stock Company
BED,HASTC,Da Nang Books And School Equipment Joint Stock Company
BHC,HASTC,Bien Hoa Concrete Joint Stock Company
BHS,HOSE,Bien Hoa Sugar Joint Stock Company
BHT,HASTC,Bach Dang TMC Construction Investment Joint Stock Company
BHV,HASTC,Viglacera Ba Hien JSC
BKC,HASTC,Bac Kan Mineral Joint Stock Corporation
BLF,HASTC,Bac Lieu Fisheries Joint Stock Company
BMC,HOSE,Binh Dinh Minerals Joint Stock Company
BMI,HOSE,BaoMinh Insurance Corporation
BMP,HOSE,Binh Minh Plastics Joint-stock Company
BPC,HASTC,Bimson Packing Company
BSC,HASTC,Ben Thanh Service Joint Stock Company
BST,HASTC,Binh Thuan Book and Equipment Joint Stock Company
BT6,HOSE,Beton 6 Corporation
BTC,HOSE,Binh Trieu Construction and Engineering Joint Stock Company
BTH,HASTC,Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company
BTP,HOSE,Ba Ria Thermal Power Joint Stock Company
BTS,HASTC,But Son Cement Joint Stock Company
BTT,HOSE,Ben Thanh Trading And Service Joint Stock Company
BVG,HASTC,BACVIET Steel Joint Stock Company
BVH,HOSE,BaoViet Holdings
BVS,HASTC,Bao Viet Securities Joint Stock Company
BXH,HASTC,Hai Phong Cement Packing Joint Stock Company
C47,HOSE,Construction Joint Stock Company 47
C92,HASTC,Engineering Construction Joint Stock Company No 492
CAD,HOSE,Cadovimex Seafood Import - Export And Processing Joint Stock Company
CAN,HASTC,Halong Canned Food Joint Stock Corporation
CAP,HASTC,YenBai Joint Stock Forest Agricultural And Foodstuffs Company
CCI,HOSE,CuChi Commercial And Industrial Developing Investment Joint Stock Company
CCL,HOSE,Cuu Long Petro Urban Development And Investment Corporation
CCM,HASTC,Can Tho Cement Joint Stock Company
CDC,HOSE,Chuong Duong Joint Stock Company
CIC,HASTC,Cotec Investment Land - House Development Joint Stock Company
CID,HASTC,Construction and Infrastructure Development Joint Stock Corporation
CII,HOSE,Ho Chi Minh City Infrastructure Investment Joint Stock Company
CJC,HASTC,Central Area Electrical Mechanical Joint Stock Company
CKV,HASTC,Post And Telecommunication Trading Joint Stock Company
CLC,HOSE,Cat Loi Joint Stock Company
CLG,HOSE,Cotec Investment And Land-House Development Joint Stock Company
CLW,HOSE,Cho Lon Water Supply Joint Stock Company
CMC,HASTC,Cmc Investment Joint Stock Company
CMG,HOSE,CMC Corporation
