"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","2.45","66519950","1999","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FLWS&selected=FLWS",
"FCTY","1st Century Bancshares, Inc","3.5","32543000","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCTY&selected=FCTY",
"FCCY","1st Constitution Bancorp (NJ)","7","33621000","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCCY&selected=FCCY",
"SRCE","1st Source Corporation","22.6","549270400","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SRCE&selected=SRCE",
"FUBC","1st United Bancorp, Inc. (FL)","5.74","175402920","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FUBC&selected=FUBC",
"TCHC","21st Century Holding Company","2.47","19626620","1998","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=TCHC&selected=TCHC",
"VNET","21Vianet Group, Inc.","11.06","127190000","n/a","Technology","Computer Software: Programming, Data Processing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=VNET&selected=VNET",
"SSRX","3SBio Inc.","13.79","300732320","2007","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SSRX&selected=SSRX",
"JOBS","51job, Inc.","55.32","1565058120","2004","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JOBS&selected=JOBS",
"CRMB","57TH Street General Acquisition Corp","11.75","52804500","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMB&selected=CRMB",
"CRMBU","57TH Street General Acquisition Corp","14.6","233600","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMBU&selected=CRMBU",
"CRMBW","57TH Street General Acquisition Corp","1.88","10257280","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMBW&selected=CRMBW",
"EGHT","8x8 Inc","3.59","222982080","n/a","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EGHT&selected=EGHT",
